schema_version,suite_id,suite_fingerprint,artifact_type,artifact_sha256,inference_category,effective_inference_chunk_size,model_type,device_class,device_name,silence_policy_id,scope,case_id,relative_score_status,digital_silence,silent_case_count,total_case_count,esr,mse,multi_resolution_stft_distance,p50_latency_ms,p95_latency_ms,real_time_factor,peak_memory_bytes,artifact_size_bytes,esr_eligible_count,multi_resolution_stft_distance_eligible_count,esr_excluded_count,multi_resolution_stft_distance_excluded_count,prediction_rms,prediction_abs_peak
1.1,gear-comparison-44100-ds1-gain-75-test,6427f50862ba998a97dccf1af1d27c127411c5e7f8a8e3610f3da48c475895c2,checkpoint,f1f6ac4a0d57c36f7720908d3a5f8329849a0a1ee29f45de06e2832aaa9d3f98,native_stateful,8192,gru,cpu,13th Gen Intel(R) Core(TM) i5-13400F,digital_silence_v1,aggregate,,aggregate,,0,4,0.0038345474167726934,9.465098446526099e-05,0.5131412297487259,369.421332,397.1162687,0.369421332,873238528.0,94683.0,4,4,0,0,,
1.1,gear-comparison-44100-ds1-gain-75-test,6427f50862ba998a97dccf1af1d27c127411c5e7f8a8e3610f3da48c475895c2,checkpoint,f1f6ac4a0d57c36f7720908d3a5f8329849a0a1ee29f45de06e2832aaa9d3f98,native_stateful,8192,gru,cpu,13th Gen Intel(R) Core(TM) i5-13400F,digital_silence_v1,case,early,eligible,False,,,0.0042557199485599995,6.788287282688543e-05,0.4943532943725586,368.1849695,382.0634066,0.3681849695,873238528.0,94683.0,,,,,0.12565383315086365,0.30351075530052185
1.1,gear-comparison-44100-ds1-gain-75-test,6427f50862ba998a97dccf1af1d27c127411c5e7f8a8e3610f3da48c475895c2,checkpoint,f1f6ac4a0d57c36f7720908d3a5f8329849a0a1ee29f45de06e2832aaa9d3f98,native_stateful,8192,gru,cpu,13th Gen Intel(R) Core(TM) i5-13400F,digital_silence_v1,case,first-middle,eligible,False,,,0.005454347934573889,0.00013423152267932892,0.5332197546958923,372.1636985,383.25583285000005,0.37216369850000003,873238528.0,94683.0,,,,,0.1568378210067749,0.3439685106277466
1.1,gear-comparison-44100-ds1-gain-75-test,6427f50862ba998a97dccf1af1d27c127411c5e7f8a8e3610f3da48c475895c2,checkpoint,f1f6ac4a0d57c36f7720908d3a5f8329849a0a1ee29f45de06e2832aaa9d3f98,native_stateful,8192,gru,cpu,13th Gen Intel(R) Core(TM) i5-13400F,digital_silence_v1,case,second-middle,eligible,False,,,0.002754711080342531,8.81471496541053e-05,0.5236784219741821,369.9553175,403.1510045,0.3699553175,873238528.0,94683.0,,,,,0.1788284331560135,0.36445334553718567
1.1,gear-comparison-44100-ds1-gain-75-test,6427f50862ba998a97dccf1af1d27c127411c5e7f8a8e3610f3da48c475895c2,checkpoint,f1f6ac4a0d57c36f7720908d3a5f8329849a0a1ee29f45de06e2832aaa9d3f98,native_stateful,8192,gru,cpu,13th Gen Intel(R) Core(TM) i5-13400F,digital_silence_v1,case,late,eligible,False,,,0.002873410703614354,8.83423927007243e-05,0.5013134479522705,368.6536155,396.73129695,0.3686536155,873238528.0,94683.0,,,,,0.17523859441280365,0.3603905737400055
