schema_version,suite_id,suite_fingerprint,artifact_type,artifact_sha256,inference_category,effective_inference_chunk_size,model_type,device_class,device_name,silence_policy_id,scope,case_id,relative_score_status,digital_silence,silent_case_count,total_case_count,esr,mse,multi_resolution_stft_distance,p50_latency_ms,p95_latency_ms,real_time_factor,peak_memory_bytes,artifact_size_bytes,esr_eligible_count,multi_resolution_stft_distance_eligible_count,esr_excluded_count,multi_resolution_stft_distance_excluded_count,prediction_rms,prediction_abs_peak
1.1,gear-comparison-44100-full-rig-test,206b728058bc696ee783f71b90b89e7d3f235f65173f5b1e9a2303373c003ffa,checkpoint,24169bd9d9909dfd238b660dc9ab0984c7b154188ae2ac9ff1f2251e16ae4072,native_stateful,8192,wavenet,cpu,x86_64,digital_silence_v1,aggregate,,aggregate,,0,4,0.017709062667563558,0.00013612453221867327,0.6173757761716843,183.491336,190.02586515,0.18349133599999998,867127296.0,461154.0,4,4,0,0,,
1.1,gear-comparison-44100-full-rig-test,206b728058bc696ee783f71b90b89e7d3f235f65173f5b1e9a2303373c003ffa,checkpoint,24169bd9d9909dfd238b660dc9ab0984c7b154188ae2ac9ff1f2251e16ae4072,native_stateful,8192,wavenet,cpu,x86_64,digital_silence_v1,case,early,eligible,False,,,0.029295360669493675,0.00013295425742398947,0.6879451274871826,180.03342099999998,182.47137065,0.18003342099999997,867127296.0,461154.0,,,,,0.06666844338178635,0.2982383668422699
1.1,gear-comparison-44100-full-rig-test,206b728058bc696ee783f71b90b89e7d3f235f65173f5b1e9a2303373c003ffa,checkpoint,24169bd9d9909dfd238b660dc9ab0984c7b154188ae2ac9ff1f2251e16ae4072,native_stateful,8192,wavenet,cpu,x86_64,digital_silence_v1,case,first-middle,eligible,False,,,0.013819380663335323,0.00012498108844738454,0.6456783413887024,183.110803,184.4511012,0.18311080300000002,867127296.0,461154.0,,,,,0.09478068351745605,0.37006431818008423
1.1,gear-comparison-44100-full-rig-test,206b728058bc696ee783f71b90b89e7d3f235f65173f5b1e9a2303373c003ffa,checkpoint,24169bd9d9909dfd238b660dc9ab0984c7b154188ae2ac9ff1f2251e16ae4072,native_stateful,8192,wavenet,cpu,x86_64,digital_silence_v1,case,second-middle,eligible,False,,,0.011081619188189507,0.00011241228639846668,0.5592347383499146,185.868203,190.5556834,0.18586820299999998,867127296.0,461154.0,,,,,0.10014604777097702,0.3123786747455597
1.1,gear-comparison-44100-full-rig-test,206b728058bc696ee783f71b90b89e7d3f235f65173f5b1e9a2303373c003ffa,checkpoint,24169bd9d9909dfd238b660dc9ab0984c7b154188ae2ac9ff1f2251e16ae4072,native_stateful,8192,wavenet,cpu,x86_64,digital_silence_v1,case,late,eligible,False,,,0.016639890149235725,0.00017415049660485238,0.5766448974609375,187.8966335,192.1995129,0.18789663350000002,867127296.0,461154.0,,,,,0.10138179361820221,0.3228120803833008
